number,title,state,owner,assignee_group,milestone,labels,action,close_reason,url
38,Complete Final Portal Submission Checklist,OPEN,rameen,rameen,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: rameen|area: demo|area: docs|area: deployment|area: qa|demo-ready|area: submission|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/38
37,Validate Token Savings Story for Demo,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: docs|area: demo|demo-ready|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/37
36,Review Team PRs and Protect Main Branch Quality,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: docs|area: deployment|area: qa|area: submission|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/36
35,Prepare Judge Q&A and Technical Defense Notes,OPEN,rameen,rameen,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: rameen|area: demo|area: docs|legacy-gemini-task|cleanup|status: legacy review|priority: p1,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/35
34,Verify API Docs and Endpoint Examples,OPEN,rameen,rameen,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: rameen|area: demo|area: docs|area: deployment|area: qa|area: submission|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/34
33,Add Final Screenshots to Documentation,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: docs|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/33
32,Create Final Release Tag and Submission Snapshot,OPEN,rameen,rameen,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: rameen|area: demo|area: docs|area: submission|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/32
31,Review Final Demo Recording and Submission Package,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: docs|area: deployment|area: demo|demo-ready|area: submission|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/31
30,Run Live Deployment Smoke Test,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: deployment|area: qa|area: demo|demo-ready|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/30
29,Prepare Final Hackathon Submission Content,OPEN,rameen,rameen,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: rameen|area: demo|area: docs|area: deployment|area: submission|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/29
